,Museum of Science and Industry,Medici,Valois,DuSable Museum,Whole Foods,Hyde Park Produce,Jewel Osco,
17031836300,1831,1277,994,1041,1106,545,1744,
17031836200,1259,517,1422,547,1639,1047,906,
17031410100,1076,1550,629,2280,765,1119,2882,
17031410200,1371,956,506,1636,531,474,2262,
17031410500,1681,1095,1056,652,1273,643,1355,
17031410600,1396,817,756,936,973,343,1597,
17031411100,758,449,1011,1339,1169,1167,1506,
17031410700,1129,604,480,1220,697,268,1872,
17031410800,899,754,238,1477,455,503,2094,
17031410900,897,1408,1041,2175,1177,1531,2734,
17031411000,641,1235,1380,2084,1516,1793,2560,
17031411200,831,89,1023,992,1230,854,1353,
