lower_areal_unit,"('target', 'All Free Health Clinics')","('target', 'Federally Qualified Health Centers')","('target', 'Hospitals')","('target', 'Other Health Providers')","('target', 'School-Based Health Centers')","('coverage', 'All Free Health Clinics')","('coverage', 'Federally Qualified Health Centers')","('coverage', 'Hospitals')","('coverage', 'Other Health Providers')","('coverage', 'School-Based Health Centers')"
44,,,,,,,,,,
59,,200000.0,,,,,3.2312787785766215,,,
34,,,,170000.0,,,,,1.9966409452333134,
31,,369000.0,,,322000.0,,5.464956427357095,,,4.831544755980664
28,339000.0,292000.0,614000.0,192000.0,583000.0,5.8527407793698725,4.393548021774281,8.340838885516014,2.384945034469909,7.445567890710638
65,,,,,,,,,,
53,,,,,,,,,,
76,,,,,,,,,,
54,,144000.0,,,192000.0,,20.027816411682892,,,48.95461499235084
32,,,,,,,,,,
77,,,183000.0,190000.0,200000.0,,,2.232006732610472,1.695157203525927,2.03740678863942
2,295000.0,246000.0,,,,3.4529772817978803,2.682624483865718,,,
29,,556000.0,346000.0,,140000.0,,5.6945088121959255,3.1878529902245316,,1.2519337905872463
8,,305000.0,486000.0,,,,2.448066519622274,5.311409033547488,,
7,,101000.0,,,,,0.9169481061844065,,,
3,,753000.0,642000.0,127000.0,152000.0,,6.912789939629887,6.887046468019783,1.1221063792189432,1.5713680205931915
67,,,,,,,,,,
68,131000.0,282000.0,195000.0,,,2.38368178757938,5.025007709625929,3.496566192687694,,
16,,,187000.0,,,,,1.8607335469362574,,
14,,171000.0,,,329000.0,,1.6299685444666858,,,3.5766921662761133
35,,199000.0,,345000.0,363000.0,,2.413613263957113,,4.221177576795268,5.13406277417364
15,,134000.0,184000.0,,,,1.6385424309122034,2.2499388603570556,,
42,,,126000.0,165000.0,,,,4.029292315563941,3.4848356847174116,
4,,383000.0,293000.0,,124000.0,,4.233222612838939,3.0494706227029704,,1.5587876654640536
27,128000.0,,102000.0,,,1.7289587076033661,,1.274474279359764,,
1,,551000.0,,,173000.0,,7.461451765319795,,,1.6583271026245663
21,,,,,,,,,,
19,,178000.0,,,,,1.8959769074273298,,,
60,,,,,,,,,,
25,,378000.0,125000.0,,190000.0,,8.854105646974528,3.951194841320015,,3.329478148109207
22,,198000.0,,284000.0,109000.0,,1.9070918775223216,,2.689702396391784,1.045342949209759
20,,,,,,,,,,
6,,480000.0,262000.0,,110000.0,,3.7259970358297676,2.636575354935969,,0.9047168647448287
61,257000.0,538000.0,,,,4.897277624325961,10.053841043308317,,,
58,,128000.0,,,163000.0,,1.5419271680339224,,,3.192260237754842
56,,260000.0,,,,,7.77698365634015,,,
23,,708000.0,146000.0,,238000.0,,7.438054829117387,2.080572299887421,,3.607648856996857
24,155000.0,911000.0,397000.0,,171000.0,2.097741206404201,9.563230515963497,4.239807842171111,,1.6474305863311431
5,,132000.0,,,,,1.1245239941047682,,,
66,198000.0,206000.0,198000.0,,180000.0,2.52947864634567,3.2523635378549502,3.5359037091272745,,2.883922134102379
63,,103000.0,,,,,1.2505615385549336,,,
69,,,,,183000.0,,,,,3.286755989798484
30,,859000.0,100000.0,166000.0,141000.0,,9.160210529848644,1.094175702734345,1.6647612170808512,3.855092276144908
11,,,,,,,,,,
45,,,,,,,,,,
18,,,111000.0,,,,,2.56861202388115,,
43,,104000.0,195000.0,,,,2.02954549889741,2.9977862501537325,,
41,,151000.0,129000.0,,,,2.0383369330453562,1.9403164671199085,,
73,,174000.0,,,,,3.8816758131441573,,,
38,,157000.0,134000.0,112000.0,101000.0,,1.9115570057955487,1.4863455864409787,1.2423186991148478,1.438029472485228
40,160000.0,,,,,2.0827909398594118,,,,
13,,,,,,,,,,
51,,,,,,,,,,
46,,301000.0,138000.0,,,,7.364117186763845,2.835189218063032,,
49,,281000.0,181000.0,,,,7.2960281675306,4.716366573729056,,
37,,120000.0,,,,,2.0175527085645113,,,
33,,193000.0,131000.0,,145000.0,,2.578524763189889,1.7501903833050543,,1.757469244288225
70,,,,,,,,,,
36,,297000.0,,,,,3.8477224453932117,,,
64,,,,,,,,,,
50,,111000.0,,,,,6.234203875315923,,,
74,,,,,,,,,,
75,,,,,,,,,,
39,109000.0,191000.0,,,155000.0,1.5319531700186926,2.6660711045351126,,,2.01199408084322
17,,,183000.0,,,,,5.139583216311857,,
47,,,,,,,,,,
48,,,112000.0,,,,,2.8660627463022674,,
71,,141000.0,,,120000.0,,2.721902629242114,,,2.3122278315156652
52,,180000.0,,,,,7.582459244281562,,,
10,,,152000.0,,,,,5.414455170448473,,
72,,,,,,,,,,
57,,106000.0,,,,,1.8164059153143581,,,
55,,179000.0,,,,,8.73255927407552,,,
26,,102000.0,,,,,1.2799598443970386,,,
9,,,,,,,,,,
12,,,,,,,,,,
62,,143000.0,,,,,1.8523316062176165,,,
